country,date,movility_reduction,deaths,pop,pct,movility_in_t_minus_23
United Arab Emirates,2020-02-15,1.0,0,9446000,,
United Arab Emirates,2020-02-16,1.0,0,9446000,,
United Arab Emirates,2020-02-17,1.0,0,9446000,,
United Arab Emirates,2020-02-18,1.0,0,9446000,,
United Arab Emirates,2020-02-19,1.0,0,9446000,,
United Arab Emirates,2020-02-20,1.0,0,9446000,,
United Arab Emirates,2020-02-21,1.0,0,9446000,,
United Arab Emirates,2020-02-22,1.0,0,9446000,,
United Arab Emirates,2020-02-23,1.0,0,9446000,,
United Arab Emirates,2020-02-24,1.0,0,9446000,,
United Arab Emirates,2020-02-25,1.0,0,9446000,,
United Arab Emirates,2020-02-26,1.0,0,9446000,,
United Arab Emirates,2020-02-27,1.0,0,9446000,,
United Arab Emirates,2020-02-28,1.0,0,9446000,,
United Arab Emirates,2020-02-29,0.8571428571428571,0,9446000,,
United Arab Emirates,2020-03-01,0.8571428571428571,0,9446000,,
United Arab Emirates,2020-03-02,0.8571428571428571,0,9446000,,
United Arab Emirates,2020-03-03,0.8571428571428571,0,9446000,,
United Arab Emirates,2020-03-04,1.0,0,9446000,,
United Arab Emirates,2020-03-05,1.1428571428571428,0,9446000,,
United Arab Emirates,2020-03-06,1.4285714285714286,0,9446000,,
United Arab Emirates,2020-03-07,1.7142857142857142,0,9446000,,
United Arab Emirates,2020-03-08,2.0,0,9446000,,
United Arab Emirates,2020-03-09,2.4285714285714284,0,9446000,,1.0
United Arab Emirates,2020-03-10,2.857142857142857,0,9446000,,1.0
United Arab Emirates,2020-03-11,3.142857142857143,0,9446000,,1.0
United Arab Emirates,2020-03-12,3.5714285714285716,0,9446000,,1.0
United Arab Emirates,2020-03-13,3.857142857142857,0,9446000,,1.0
United Arab Emirates,2020-03-14,4.142857142857143,0,9446000,,1.0
United Arab Emirates,2020-03-15,4.428571428571429,0,9446000,,1.0
United Arab Emirates,2020-03-16,4.714285714285714,0,9446000,,1.0
United Arab Emirates,2020-03-17,5.142857142857143,0,9446000,,1.0
United Arab Emirates,2020-03-18,5.857142857142857,0,9446000,,1.0
United Arab Emirates,2020-03-19,6.714285714285714,0,9446000,,1.0
United Arab Emirates,2020-03-20,7.571428571428571,2,9446000,inf,1.0
United Arab Emirates,2020-03-21,8.428571428571429,2,9446000,0.0,1.0
United Arab Emirates,2020-03-22,9.571428571428571,2,9446000,0.0,1.0
United Arab Emirates,2020-03-23,10.714285714285714,2,9446000,0.0,0.8571428571428571
